entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,max_price,partial_exit
2025-09-29,10:43:58,2025-09-29,10:44:04,24750.0,CE,103.05,4190.0,4081.95,3961.14,0,contract_change,103.05,False
2025-09-29,10:44:39,2025-09-29,10:44:41,24750.0,PE,40.9,4187.2,4141.30,10125.43,0,contract_change,40.90,False
2025-09-29,10:45:13,2025-09-29,10:45:15,24750.0,PE,40.75,5200.0,5154.25,12648.47,0,contract_change,40.75,False
2025-09-29,10:45:27,2025-09-29,10:45:28,24750.0,PE,41.2,4187.2,4141.00,10050.97,0,contract_change,41.20,False
2025-09-29,10:45:37,2025-09-29,10:45:38,24750.0,CE,105.45,4187.2,4076.75,3866.05,0,contract_change,105.45,False
2025-09-29,10:45:42,2025-09-29,10:45:43,24750.0,PE,40.35,4187.2,4141.85,10264.81,0,contract_change,40.35,False
2025-09-29,10:45:52,2025-09-29,10:45:53,24750.0,PE,40.7,4187.2,4141.50,10175.68,0,contract_change,40.70,False
2025-09-29,10:45:57,2025-09-29,10:45:58,24750.0,PE,40.9,4187.2,4141.30,10125.43,0,contract_change,40.90,False
2025-09-29,10:46:02,2025-09-29,10:46:03,24750.0,CE,104.9,4187.2,4077.30,3886.84,0,contract_change,104.90,False
2025-09-29,10:46:07,2025-09-29,10:46:08,24750.0,PE,40.3,5200.0,5154.70,12790.82,0,contract_change,40.30,False
2025-09-29,10:46:21,2025-09-29,10:46:23,24750.0,PE,39.7,4187.2,4142.50,10434.51,0,contract_change,39.70,False
2025-09-29,10:46:35,2025-09-29,10:46:36,24750.0,CE,106.9,5200.0,5088.10,4759.68,0,contract_change,106.90,False
2025-09-29,10:46:55,2025-09-29,10:46:58,24750.0,CE,108.0,4187.2,4074.20,3772.41,0,contract_change,108.00,False
2025-09-29,10:47:02,2025-09-29,10:47:03,24750.0,PE,38.7,5200.0,5156.30,13323.77,0,contract_change,38.70,False
2025-09-29,10:47:48,2025-09-29,10:47:49,24750.0,CE,105.65,5200.0,5089.35,4817.18,0,contract_change,105.65,False
2025-09-29,10:48:01,2025-09-29,10:48:02,24750.0,PE,41.85,5200.0,5153.15,12313.38,0,contract_change,41.85,False
2025-09-29,10:48:24,2025-09-29,10:48:25,24750.0,CE,97.1,5200.0,5097.90,5250.15,0,contract_change,97.10,False
2025-09-29,10:48:31,2025-09-29,10:48:33,24750.0,PE,46.15,4187.2,4136.05,8962.19,0,contract_change,46.15,False
2025-09-29,10:49:04,2025-09-29,10:49:06,24750.0,CE,97.35,4187.2,4084.85,4196.05,0,contract_change,97.35,False
2025-09-29,10:49:12,2025-09-29,10:49:14,24750.0,CE,97.9,4187.2,4084.30,4171.91,0,contract_change,97.90,False
2025-09-29,10:49:21,2025-09-29,10:49:22,24750.0,PE,46.3,4187.2,4135.90,8932.83,0,contract_change,46.30,False
2025-09-29,10:49:29,2025-09-29,10:49:32,24750.0,PE,45.45,4187.2,4136.75,9101.76,0,contract_change,45.45,False
2025-09-29,10:50:46,2025-09-29,10:50:47,24750.0,PE,47.85,5200.0,5147.15,10756.84,0,contract_change,47.85,False
2025-09-29,10:51:24,2025-09-29,10:51:26,24750.0,CE,98.35,4210.0,4106.65,4175.55,0,contract_change,98.35,False
2025-09-29,10:51:50,2025-09-29,10:51:51,24750.0,CE,98.65,5200.0,5096.35,5166.09,0,contract_change,98.65,False
2025-09-29,10:52:15,2025-09-29,10:52:17,24750.0,PE,44.25,4205.0,4155.75,9391.53,0,contract_change,44.25,False
2025-09-29,10:52:43,2025-09-29,10:52:44,24750.0,PE,45.55,4200.0,4149.45,9109.66,0,contract_change,45.55,False
2025-09-29,10:52:50,2025-09-29,10:52:52,24750.0,CE,97.5,5200.0,5097.50,5228.21,0,contract_change,97.50,False
2025-09-29,10:52:56,2025-09-29,10:53:03,24750.0,CE,98.75,4200.0,4096.25,4148.10,0,contract_change,98.75,False
2025-09-29,10:54:00,2025-09-29,10:54:01,24750.0,CE,95.35,4204.0,4103.65,4303.78,0,contract_change,95.35,False
2025-09-29,10:54:18,2025-09-29,10:54:20,24750.0,CE,93.0,4204.0,4106.00,4415.05,0,contract_change,93.00,False
2025-09-29,10:54:27,2025-09-29,10:54:28,24750.0,CE,92.55,4204.0,4106.45,4437.01,0,contract_change,92.55,False
2025-09-29,10:54:35,2025-09-29,10:54:38,24750.0,CE,91.9,4204.0,4107.10,4469.10,0,contract_change,91.90,False
2025-09-29,10:54:55,2025-09-29,10:55:06,24750.0,CE,88.5,4204.0,4110.50,4644.63,0,contract_change,88.50,False
2025-09-29,10:55:08,2025-09-29,10:55:11,24750.0,CE,86.15,5200.0,5108.85,5930.18,0,contract_change,86.15,False
2025-09-29,10:55:15,2025-09-29,10:55:16,24750.0,CE,86.0,4204.0,4113.00,4782.56,0,contract_change,86.00,False
2025-09-29,10:55:25,2025-09-29,10:55:26,24750.0,CE,85.55,5200.0,5109.45,5972.47,0,contract_change,85.55,False
2025-09-29,10:55:30,2025-09-29,10:55:31,24750.0,CE,85.35,5200.0,5109.65,5986.70,0,contract_change,85.35,False
2025-09-29,10:55:35,2025-09-29,10:55:36,24750.0,PE,57.65,5200.0,5137.35,8911.27,0,contract_change,57.65,False
2025-09-29,10:55:45,2025-09-29,10:55:46,24750.0,PE,56.9,5200.0,5138.10,9030.05,0,contract_change,56.90,False
2025-09-29,10:55:55,2025-09-29,10:55:56,24750.0,CE,85.3,5200.0,5109.70,5990.27,0,contract_change,85.30,False
2025-09-29,10:56:35,2025-09-29,10:56:36,24750.0,CE,87.35,5220.1,5127.75,5870.35,0,contract_change,87.35,False
2025-09-29,10:56:50,2025-09-29,10:56:51,24750.0,CE,89.55,5220.1,5125.55,5723.67,0,contract_change,89.55,False
2025-09-29,10:56:53,2025-09-29,10:56:56,24750.0,CE,89.65,5220.1,5125.45,5717.18,0,contract_change,89.65,False
2025-09-29,10:56:58,2025-09-29,10:57:01,24750.0,CE,90.5,5220.1,5124.60,5662.54,0,contract_change,90.50,False
2025-09-29,10:57:03,2025-09-29,10:57:06,24750.0,CE,89.0,4207.25,4113.25,4621.63,0,contract_change,89.00,False
2025-09-29,10:57:23,2025-09-29,10:57:24,24750.0,CE,88.0,5217.15,5124.15,5822.90,0,contract_change,88.00,False
2025-09-29,10:57:28,2025-09-29,10:57:29,24750.0,CE,88.85,5217.15,5123.30,5766.24,0,contract_change,88.85,False
2025-09-29,10:57:53,2025-09-29,10:57:54,24750.0,PE,52.0,5217.15,5160.15,9923.37,0,contract_change,52.00,False
2025-09-29,10:58:03,2025-09-29,10:58:04,24750.0,CE,88.5,5217.15,5123.65,5789.44,0,contract_change,88.50,False
2025-09-29,10:58:08,2025-09-29,10:58:09,24750.0,PE,52.35,5217.15,5159.80,9856.35,0,contract_change,52.35,False
2025-09-29,10:58:18,2025-09-29,10:58:19,24750.0,PE,53.3,5217.15,5158.85,9678.89,0,contract_change,53.30,False
2025-09-29,10:58:23,2025-09-29,10:58:24,24750.0,CE,87.95,5217.15,5124.20,5826.26,0,contract_change,87.95,False
2025-09-29,10:58:28,2025-09-29,10:58:29,24750.0,CE,91.65,5217.15,5120.50,5587.02,0,contract_change,91.65,False
2025-09-29,10:58:31,2025-09-29,10:58:36,24750.0,CE,91.05,4215.0,4118.95,4523.83,0,contract_change,91.05,False
2025-09-29,10:58:53,2025-09-29,10:58:54,24750.0,CE,94.1,5217.15,5118.05,5438.95,0,contract_change,94.10,False
2025-09-29,10:59:08,2025-09-29,10:59:09,24750.0,CE,92.8,5217.15,5119.35,5516.54,0,contract_change,92.80,False
2025-09-29,10:59:13,2025-09-29,10:59:14,24750.0,CE,93.35,5217.15,5118.80,5483.45,0,contract_change,93.35,False
2025-09-29,10:59:22,2025-09-29,10:59:23,24750.0,PE,47.9,5217.15,5164.25,10781.32,0,contract_change,47.90,False
2025-09-29,10:59:30,2025-09-29,10:59:31,24750.0,CE,94.65,5217.15,5117.50,5406.76,0,contract_change,94.65,False
2025-09-29,10:59:35,2025-09-29,10:59:36,24750.0,CE,94.25,5217.15,5117.90,5430.13,0,contract_change,94.25,False
2025-09-29,10:59:40,2025-09-29,10:59:41,24750.0,CE,92.65,5217.15,5119.50,5525.63,0,contract_change,92.65,False
2025-09-29,10:59:45,2025-09-29,10:59:48,24750.0,CE,92.7,4208.0,4110.30,4433.98,0,contract_change,92.70,False
2025-09-29,11:00:29,2025-09-29,11:00:32,24750.0,CE,94.75,3205.0,3105.25,3277.31,0,contract_change,94.75,False
2025-09-29,11:00:52,2025-09-29,11:00:55,24750.0,CE,96.3,4200.0,4098.70,4256.18,0,contract_change,96.30,False
